Time_Stamp,Date,Text,Post_ID,Attribution_Presence,Attribution_Number,Sender_Relevance,Evaluation,Target,Specific_Individual,Specific_Collective,Topic
0,2016-07-19 04:14:11,"It was truly an honor to introduce my wife, Melania. Her speech and demeanor were absolutely incredible. Very proud! #GOPConvention",182L,0,,,,,,,
0,2016-07-19 19:34:40,"#MakeAmericaWorkAgain
#TrumpPence16 #RNCinCLE 
https://t.co/xlB2C1cpKp https://t.co/5Kv03luMZW",182A,0,,,,,,,
0,2016-07-19 22:12:56,The ROLL CALL is beginning at the Republican National Convention. Very exciting!,182M,0,,,,,,,
0,2016-07-20 10:18:17,"Congratulations to my children, Don and Tiffany, on having done a fantastic job last night. I am very proud of you!",182F,0,,,,,,,
0,2016-07-20 12:51:58,"In November, I think the people of Ohio will remember that the Republicans picked Cleveland instead of going to another state. Jobs!",254L,0,,,,,,,
0,2016-07-20 17:02:19,"STATEMENT ON MELANIA SPEECH
https://t.co/uzBOm21Pug",254A,0,,,,,,,
0,2016-07-20 18:48:11,John Kasich was never asked by me to be V.P. Just arrived in Cleveland - will be a great two days!,254M,0,,,,,,,
0,2016-07-21 00:50:21,"#AmericaFirst #RNCinCLE 
https://t.co/PvdTA8HTCC",254F,0,,,,,,,
0,2016-07-21 01:24:26,Thank you to Governor @ScottWalker for such warm support. Great speech!,140L,0,,,,,,,
0,2016-07-21 02:06:13,Limited opportunity to get your OFFICIAL Trump gear! Shop now! https://t.co/LQMDdNkUwR https://t.co/KSAv65FuiD,140A,0,,,,,,,
0,2016-07-21 02:35:23,"Great job @EricTrump! Proud of you! 
#AmericaFirst #RNCinCLE
https://t.co/EE7C6XKDkt https://t.co/946U6bgREQ",140M,1,1.0,1.0,1.0,1.0,Other Individuals,,
0,2016-07-21 03:49:38,"Our next Vice President of the United States of America, Gov. @Mike_Pence!
#GOPinCLE #GOPConvention
#AmericaFirst https://t.co/TZT3XcKp1c",140F,0,,,,,,,
0,2016-07-21 03:56:28,"Arena was packed, totally electric!",250L,0,,,,,,,
0,2016-07-21 04:32:03,"Great job @EricTrump! Proud of you!
#AmericaFirst #RNCinCLE https://t.co/S7IHXDrmsJ",250A,0,,,,,,,
0,2016-07-21 14:16:20,Limited opportunity to get your OFFICIAL Trump gear! Shop now!  https://t.co/3lUaSztKYx,250M,0,,,,,,,
0,2016-07-21 14:56:49,"Great job @IvankaTrump! #RNCinCLE
https://t.co/swsAKE11F0",250F,0,,,,,,,
0,2016-07-21 16:47:02,We’ve just set a new goal: raise $4 million from our grassroots supporters by MIDNIGHT! https://t.co/Ssrh55C6hW https://t.co/8E0LiC8wYE,201L,0,,,,,,,
0,2016-07-21 18:49:27,I’m with you! I will work hard and never let you down. Make America Great Again! https://t.co/V92PkdHbG6 https://t.co/SQs6ERk6El,201A,0,,,,,,,
0,2016-07-22 02:02:18,You can watch 360 video live from the podium! https://t.co/yqcIsBUdAi #RNCinCLE #TrumpIsWithYou #MakeAmericaGreatAgain,201M,0,,,,,,,
0,2016-07-22 05:11:10,"MAKE AMERICA SAFE AND GREAT AGAIN! #RNCinCLE
https://t.co/KH2ZFHUHGP",201F,0,,,,,,,
0,2016-07-22 13:13:02,Thank you Cleveland. We love you and will be back many times!,9L,0,,,,,,,
0,2016-07-22 23:03:19,"Another attack, this time in Germany. Many killed. God bless the people of Munich.",9A,0,,,,,,,
0,2016-07-23 03:49:04,I highly recommend the just out book - THE FIELD OF FIGHT - by General Michael Flynn. How to defeat radical Islam.,9M,0,,,,,,,
0,2016-07-23 10:35:37,"Tim Kaine is, and always has been, owned by the banks. Bernie supporters are outraged, was their last choice. Bernie fought for nothing!",9F,0,,,,,,,
0,2016-07-23 10:55:20,"Leaked e-mails of DNC show plans to destroy Bernie Sanders. Mock his heritage and much more. On-line from Wikileakes, really vicious. RIGGED",63L,0,,,,,,,
0,2016-07-23 15:01:48,Funny that the Democrats would have their convention in Pennsylvania where her husband and her killed so many jobs. I will bring jobs back!,63A,0,,,,,,,
0,2016-07-23 16:06:15,I will bring jobs back and get wages up. People haven't had a real wage increase in almost twenty years. Clinton killed jobs!,63M,1,2.0,1.0,0.0,1.0,Other Individual Democratic Politicians,,1.0
0,2016-07-23 16:06:15,I will bring jobs back and get wages up. People haven't had a real wage increase in almost twenty years. Clinton killed jobs!,63M,1,1.0,1.0,1.0,1.0,Donald Trump,,1.0
0,2016-07-23 22:05:55,Thank you to everyone for the wonderful reviews of my speech on Thursday night. From the heart!,63F,0,,,,,,,
0,2016-07-23 22:13:39,"""@NancyNielsenn: @realDonaldTrump Dinesh D'Sousa Hillary's America. see it""",37L,0,,,,,,,
0,2016-07-24 11:16:15,The Crooked Hillary V.P. choice is VERY disrespectful to Bernie Sanders and all of his supporters. Just another case of BAD JUDGEMENT by H!,37A,0,,,,,,,
0,2016-07-24 11:56:43,"Wow, President Obama's brother, Malik, just announced that he is voting for me. Was probably treated badly by president-like everybody else!",37M,1,1.0,1.0,,,,,
0,2016-07-24 13:27:56,"There is no longer a Bernie Sanders ""political revolution."" He is turning out to be a weak and somewhat pathetic figure,wants it all to end!",37F,0,,,,,,,
0,2016-07-24 20:20:57,"Today proves what I have always known, that @Reince Priebus is the tough one and the smart one, not Debbie Wasserman Shultz (@DWStweets.)",213L,0,,,,,,,
0,2016-07-24 20:45:31,"The @CNN panels are so one sided, almost all against Trump. @FoxNews is so much better and the ratings are much higher. Don't watch CNN!",213A,0,,,,,,,
0,2016-07-24 22:02:42,"Crooked Hillary Clinton was not at all loyal to the person in her rigged system that pushed her over the top, DWS. Too bad Bernie flamed out",213M,0,,,,,,,
0,2016-07-24 23:59:10,Watched Crooked Hillary Clinton and Tim Kaine on 60 Minutes. No way they are going to fix America's problems. ISIS &amp; all others laughing!,4L,0,,,,,,,
0,2016-07-25 11:57:17,"How much BAD JUDGEMENT was on display by the people in DNC in writing those really dumb e-mails, using even religion, against Bernie!",4A,1,2.0,1.0,0.0,2.0,,"Other Collectives (e.g. Other Countries, Other Political Groups, NGOs, Public Enterprises, International Governing Institutions)",3.0
0,2016-07-25 11:57:17,"How much BAD JUDGEMENT was on display by the people in DNC in writing those really dumb e-mails, using even religion, against Bernie!",4A,1,1.0,1.0,0.0,2.0,,"Other Collectives (e.g. Other Countries, Other Political Groups, NGOs, Public Enterprises, International Governing Institutions)",3.0
0,2016-07-25 12:26:56,Thank you! #MakeAmericaGreatAgain https://t.co/Pzs9uwgzam,4M,0,,,,,,,
0,2016-07-25 13:19:18,"Crooked Hillary Clinton knew everything that her ""servant"" was doing at the DNC - they just got caught, that's all! They laughed at Bernie.",4F,0,,,,,,,
0,2016-07-25 14:01:25,The State of Florida is so embarrassed by the antics of Crooked Hillary Clinton and Debbie Wasserman Schultz that they will vote for CHANGE!,90L,0,,,,,,,
0,2016-07-25 16:46:33,"#MakeAmericaGreatAgain 
https://t.co/EXsoUOsEP4 https://t.co/3ji7a14GSw",90A,0,,,,,,,
0,2016-07-25 21:24:28,"Thank you Roanoke, Virginia- be back soon! #TrumpPence16
https://t.co/rwxXhfFsn1 https://t.co/HwqI2iGPDu",90M,0,,,,,,,
0,2016-07-25 21:32:59,"Clinton betrayed Bernie voters. Kaine supports TPP, is in pocket of Wall Street, and backed Iraq War.",90F,1,1.0,1.0,0.0,1.0,Hillary Clinton,,3.0
0,2016-07-25 21:45:54,"Hard to believe that Bernie Sanders has done such a complete fold. He got NOTHING for all of the time, energy and money. The V.P. a joke!",196L,0,,,,,,,
0,2016-07-26 03:04:56,Sad to watch Bernie Sanders abandon his revolution. We welcome all voters who want to fix our rigged system and bring back our jobs.,196A,0,,,,,,,
0,2016-07-26 03:19:38,"Bernie Sanders totally sold out to Crooked Hillary Clinton. All of that work, energy and money, and nothing to show for it! Waste of time.",196M,0,,,,,,,
0,2016-07-26 12:38:27,"Why aren't the Democrats speaking about ISIS, bad trade deals, broken borders, police and law and order. The Republican Convention was great",196F,0,,,,,,,
0,2016-07-26 17:43:45,"Join us tomorrow in Scranton, Pennsylvania at 3pm!
#TrumpPence16 #MAGA 
Tickets: https://t.co/4FTydj8s9U https://t.co/7zMKhhMmhp",163L,0,,,,,,,
0,2016-07-26 19:27:43,The invention of email has proven to be a very bad thing for Crooked Hillary in that it has proven her to be both incompetent and a liar!,163A,0,,,,,,,
0,2016-07-26 19:48:08,Dems don't want to talk ISIS b/c Hillary's foreign interventions unleashed ISIS &amp; her refugee plans make it easier for them to come here.,163M,1,1.0,1.0,0.0,1.0,Hillary Clinton,,4.0
0,2016-07-26 19:48:08,Dems don't want to talk ISIS b/c Hillary's foreign interventions unleashed ISIS &amp; her refugee plans make it easier for them to come here.,163M,1,2.0,1.0,0.0,1.0,Hillary Clinton,,4.0
0,2016-07-26 22:50:12,"For the record, I have ZERO investments in Russia.",163F,0,,,,,,,
0,2016-07-26 23:41:07,I'm with you! I will work hard and never let you down. Make America Great Again! https://t.co/LwxMIAn0kK,264L,0,,,,,,,
0,2016-07-27 01:51:45,"You have no idea what my strategy on ISIS is, and neither does ISIS (a good thing). Please get your facts straight - thanks. @megynkelly",264A,0,,,,,,,
0,2016-07-27 02:11:47,Many of Bernie's supporters have left the arena. Did Bernie go home and go to sleep?,264M,0,,,,,,,
0,2016-07-27 09:33:52,"As I have been saying, Crooked Hillary will approve the job killing TPP after the election, despite her statements to the contrary: top adv.",264F,0,,,,,,,
0,2016-07-27 09:50:55,The Democratic Convention has paid ZERO respect to the great police and law enforcement professionals of our country. No recognition - SAD!,236L,0,,,,,,,
0,2016-07-27 10:08:35,Crooked Hillary Clinton wants to flood our country with Syrian immigrants that we know little or nothing about. The danger is massive. NO!,236A,0,,,,,,,
